DATA_SOURCE_CODE	レベル	部品番号	親部品番号	部品名称	PART_NO	PART_REV	員数	材質	板厚	重量	モデル重量	コンポーネント名	モデル名	DESCRIPTION	サフィックス	UPC	EC_NUMBERS	設通NO	採用年月日	リリース年月日	変更区分	先行区分	部品支給区分	TOP_ASM_NO	TOP_ASM_REV	件数	ソートレベル	ENGDAT
ISZ	0	8978820135	          	FRAME ASM                                         	97882013	006	1	N/A                           				                                                  	                              	897882013_VL26_NPR0SA_H-WB_&FF0_-6YE_-EBE_&GN1_5PACKS                                                                                                 			4K7435              	4K7435  			A                             			97882013  	006	3439	1538	UG_8978820135_4K7435_250925.xml
ISZ	1	9067510300	8978820135	RIVET;RD-HD,CHAM-PNT                              	94004980	001	4	S12C,SWCH12A,-K               				                                                  	                              	906751030 ISD-E01-001 d10xL30                                                                                                                         				4K7435  		00-Jan-0000	A                             			97882013  	006	3443	1539	UG_8978820135_4K7435_250925.xml
ISZ	1	0911801100	8978820135	NUT;HEX,FLANGE                                    	94012040	002	2	S45C,S48C,S50C                				                                                  	                              	091180110  ISD-C10-502 M10x1.25                                                                                                                       				4K7435  			A                             			97882013  	006	3449	1540	UG_8978820135_4K7435_250925.xml
ISZ	1	0280510300	8978820135	BOLT;HEX-HD,FLANGE(R)/(M)                         	94012255	001	2	SNH-6,SNH-7,SNH-8             				                                                  	                              	028051030 ISD-C01-501 M10x1.25                                                                                                                        				4K7435  			A                             			97882013  	006	3448	1541	UG_8978820135_4K7435_250925.xml
ISZ	1	8971186202	8978820135	BRKT;STABI TO FRAME,FRONT                         	97118620	002	2	N/A                           				                                                  	                              	897118620 UPC_2B                                                                                                                                      		2B   		4K7435  			A                             			97882013  	006	3445	1542	UG_8978820135_4K7435_250925.xml
ISZ	1	7551864240	8978820135	STIFFENER;EV-BATTERY,FT-LH                        	55186424	003	1	N/A                           				                                                  	                              	755186424_DWG;755186422Z_VL26_750WIDTH                                                                                                                				4K7435  			A                             			97882013  	006	3450	1543	UG_8978820135_4K7435_250925.xml
ISZ	2	9091140700	7551864240	NUT;WELD,PROJECTION,TYPE D                        	94005387	003	1	S45C,S48C,S50C                				                                                  	                              	909114070,ISD-C12-001                                                                                                                                 				4K7435  			A                             			97882013  	006	3456	1544	UG_8978820135_4K7435_250925.xml
ISZ	2	9991140720	7551864240	NUT;PROJECTION                                    	94009435	002	4	S45C,S48C,S50C                				                                                  	                              	999114072 ISD-C12-001 M12x1.25                                                                                                                        				4K7435  			A                             			97882013  	006	3455	1545	UG_8978820135_4K7435_250925.xml
ISZ	2	CAC61962	7551864240	NO_PNO_STIFFENER;BATTERY,FT-LH                    	CAC61962	005	1	JSH440W                       				                                                  	                              	VL26_750WIDTH_TABLE;BRP52911                                                                                                                          				4K7435  			A                             			97882013  	006	3451	1546	UG_8978820135_4K7435_250925.xml
ISZ	2	CAF17233	7551864240	NO_PNO_RIB;750 STIFF                              	CAF17233	002	2	JSH440W                       				                                                  	                              	VL26                                                                                                                                                  			3JBT80              	4K7435  			A                             			97882013  	006	3459	1547	UG_8978820135_4K7435_250925.xml
